code,individual,species,date_planted,treatment,germinated,date_germinated
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/6/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/6/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/6/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/2/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/2/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/5/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/2/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/10/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/13/2016
A,284061,cyperus,4/19/2016,scatcontrol,0,
A,284061,cyperus,4/19/2016,scatcontrol,0,
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,4/29/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/6/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/5/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/2/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/9/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/14/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/19/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,4/29/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/4/2016
A,284061,cyperus,4/19/2016,treatment,1,4/29/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/13/2016
A,284061,cyperus,4/19/2016,treatment,0,
A,284061,cyperus,4/19/2016,treatment,0,
A,284061,cyperus,4/19/2016,treatment,0,
A,284061,physalis,4/20/2016,control,1,5/1/2016
A,284061,physalis,4/20/2016,control,1,5/1/2016
A,284061,physalis,4/20/2016,control,1,4/29/2016
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,1,5/1/2016
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,scatcontrol,0,
A,284061,physalis,4/20/2016,scatcontrol,1,5/2/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/16/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/2/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/5/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/4/2016
A,284061,physalis,4/20/2016,scatcontrol,0,
A,284061,physalis,4/20/2016,scatcontrol,1,5/5/2016
A,284061,physalis,4/20/2016,scatcontrol,0,
A,284061,physalis,4/20/2016,scatcontrol,1,5/9/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/5/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/4/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/5/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/9/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/7/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/3/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/5/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/1/2016
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,scattreatment,1,5/6/2016
A,284061,physalis,4/20/2016,scattreatment,1,6/5/2016
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,treatment,0,
A,284061,physalis,4/20/2016,treatment,1,5/4/2016
A,284061,physalis,4/20/2016,treatment,0,
A,284061,physalis,4/20/2016,treatment,1,5/9/2016
A,284061,physalis,4/20/2016,treatment,1,5/1/2016
A,284061,physalis,4/20/2016,treatment,1,5/1/2016
A,284061,physalis,4/20/2016,treatment,1,4/29/2016
A,284061,physalis,4/20/2016,treatment,1,5/18/2016
A,284061,physalis,4/20/2016,treatment,1,5/9/2016
A,284061,physalis,4/20/2016,treatment,1,5/4/2016
A,284061,physalis,4/20/2016,treatment,1,5/1/2016
A,284061,physalis,4/20/2016,treatment,1,4/28/2016
B,616114,cyperus,4/19/2016,control,1,4/29/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/4/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,cyperus,4/19/2016,control,1,5/1/2016
B,616114,eustachys,4/19/2016,control,1,4/30/2016
B,616114,eustachys,4/19/2016,control,1,4/30/2016
B,616114,eustachys,4/19/2016,control,1,4/30/2016
B,616114,eustachys,4/19/2016,control,0,
B,616114,eustachys,4/19/2016,scatcontrol,1,5/1/2016
B,616114,eustachys,4/19/2016,scatcontrol,1,5/2/2016
B,616114,eustachys,4/19/2016,scatcontrol,1,5/2/2016
B,616114,eustachys,4/19/2016,scatcontrol,0,
B,616114,eustachys,4/19/2016,scattreatment,1,5/10/2016
B,616114,eustachys,4/19/2016,scattreatment,0,
B,616114,eustachys,4/19/2016,scattreatment,0,
B,616114,eustachys,4/19/2016,scattreatment,0,
B,616114,eustachys,4/19/2016,treatment,0,
B,616114,eustachys,4/19/2016,treatment,1,5/1/2016
B,616114,eustachys,4/19/2016,treatment,1,5/2/2016
B,616114,eustachys,4/19/2016,treatment,0,
B,616114,Fcymosa,4/19/2016,control,1,5/2/2016
B,616114,Fcymosa,4/19/2016,treatment,0,
B,616114,sjam,4/19/2016,control,1,4/29/2016
B,616114,sjam,4/19/2016,control,1,4/29/2016
B,616114,sjam,4/19/2016,control,1,5/1/2016
B,616114,sjam,4/19/2016,control,0,
B,616114,sjam,4/19/2016,control,0,
B,616114,sjam,4/19/2016,control,0,
B,616114,sjam,4/19/2016,scatcontrol,1,5/1/2016
B,616114,sjam,4/19/2016,scatcontrol,1,5/5/2016
B,616114,sjam,4/19/2016,scatcontrol,1,5/1/2016
B,616114,sjam,4/19/2016,scatcontrol,1,5/1/2016
B,616114,sjam,4/19/2016,scatcontrol,1,5/1/2016
B,616114,sjam,4/19/2016,scatcontrol,0,
B,616114,sjam,4/19/2016,scattreatment,0,
B,616114,sjam,4/19/2016,scattreatment,0,
B,616114,sjam,4/19/2016,scattreatment,0,
B,616114,sjam,4/19/2016,scattreatment,0,
B,616114,sjam,4/19/2016,scattreatment,0,
B,616114,sjam,4/19/2016,scattreatment,0,
B,616114,sjam,4/19/2016,treatment,0,
B,616114,sjam,4/19/2016,treatment,0,
B,616114,sjam,4/19/2016,treatment,0,
B,616114,sjam,4/19/2016,treatment,0,
B,616114,sjam,4/19/2016,treatment,0,
B,616114,sjam,4/19/2016,treatment,0,
B,616114,waltheria,4/19/2016,control,1,5/19/2016
B,616114,waltheria,4/19/2016,control,1,5/19/2016
B,616114,waltheria,4/19/2016,control,1,5/19/2016
B,616114,waltheria,4/19/2016,control,1,5/19/2016
B,616115,waltheria,4/20/2016,control,0,
B,616114,waltheria,4/19/2016,scatcontrol,1,5/19/2016
B,616114,waltheria,4/19/2016,scatcontrol,1,5/19/2016
B,616114,waltheria,4/19/2016,scatcontrol,1,5/19/2016
B,616114,waltheria,4/19/2016,scatcontrol,1,5/19/2016
B,616114,waltheria,4/19/2016,scatcontrol,0,
B,616114,waltheria,4/19/2016,scattreatment,0,
B,616114,waltheria,4/19/2016,scattreatment,0,
B,616114,waltheria,4/19/2016,scattreatment,0,
B,616114,waltheria,4/19/2016,treatment,0,
B,616114,waltheria,4/19/2016,treatment,0,
B,616114,waltheria,4/19/2016,treatment,0,
C,73789572,cyperus,8/25/2016,control,0,
C,73789572,cyperus,8/25/2016,control,0,
C,73789572,cyperus,8/25/2016,control,1,9/4/2016
C,73789572,cyperus,8/25/2016,control,1,9/4/2016
C,73789572,cyperus,8/25/2016,control,1,9/3/2016
C,73789572,cyperus,8/25/2016,control,1,9/11/2016
C,73789572,cyperus,8/25/2016,control,1,9/2/2016
C,73789572,cyperus,8/25/2016,control,1,9/3/2016
C,73789572,cyperus,8/25/2016,control,1,9/12/2016
C,73789572,cyperus,8/25/2016,control,1,9/2/2016
C,73789572,cyperus,8/25/2016,scatcontrol,0,
C,73789572,cyperus,8/25/2016,scatcontrol,0,
C,73789572,cyperus,8/25/2016,scatcontrol,1,9/2/2016
C,73789572,cyperus,8/25/2016,scatcontrol,1,9/3/2016
C,73789572,cyperus,8/25/2016,scatcontrol,1,9/3/2016
C,73789572,cyperus,8/25/2016,scatcontrol,1,9/2/2016
C,73789572,cyperus,8/25/2016,scatcontrol,1,9/3/2016
C,73789572,cyperus,8/25/2016,scatcontrol,1,9/4/2016
C,73789572,cyperus,8/25/2016,scatcontrol,1,9/2/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/24/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/1/2016
C,73789572,cyperus,8/25/2016,scattreatment,0,
C,73789572,cyperus,8/25/2016,scattreatment,1,9/11/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/1/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/6/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/2/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/2/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/7/2016
C,73789572,cyperus,8/25/2016,scattreatment,1,9/1/2016
C,73789572,cyperus,8/25/2016,treatment,1,9/1/2016
C,73789572,cyperus,8/25/2016,treatment,1,9/13/2016
C,73789572,cyperus,8/25/2016,treatment,1,9/1/2016
C,73789572,cyperus,8/25/2016,treatment,0,
C,73789572,cyperus,8/25/2016,treatment,1,9/2/2016
C,73789572,cyperus,8/25/2016,treatment,1,9/2/2016
C,73789572,cyperus,8/25/2016,treatment,1,9/1/2016
C,73789572,cyperus,8/25/2016,treatment,1,9/3/2016
C,73789572,cyperus,8/25/2016,treatment,1,9/7/2016
C,73789572,Fcymosa,8/25/2016,control,0,
C,73789572,Fcymosa,8/25/2016,control,1,9/5/2016
C,73789572,Fcymosa,8/25/2016,control,0,
C,73789572,Fcymosa,8/25/2016,control,1,9/5/2016
C,73789572,Fcymosa,8/25/2016,control,0,
C,73789572,Fcymosa,8/25/2016,control,1,9/12/2016
C,73789572,Fcymosa,8/25/2016,scatcontrol,0,
C,73789572,Fcymosa,8/25/2016,scatcontrol,1,10/1/2016
C,73789572,Fcymosa,8/25/2016,scatcontrol,1,9/4/2016
C,73789572,Fcymosa,8/25/2016,scatcontrol,1,9/5/2016
C,73789572,Fcymosa,8/25/2016,scatcontrol,1,9/14/2016
C,73789572,Fcymosa,8/25/2016,scatcontrol,1,9/11/2016
C,73789572,Fcymosa,8/25/2016,scattreatment,1,9/4/2016
C,73789572,Fcymosa,8/25/2016,scattreatment,1,9/11/2016
C,73789572,Fcymosa,8/25/2016,scattreatment,,
C,73789572,Fcymosa,8/25/2016,scattreatment,1,9/6/2016
C,73789572,Fcymosa,8/25/2016,scattreatment,1,9/5/2016
C,73789572,Fcymosa,8/25/2016,scattreatment,0,
C,73789572,Fcymosa,8/25/2016,treatment,1,9/5/2016
C,73789572,Fcymosa,8/25/2016,treatment,1,9/4/2016
C,73789572,Fcymosa,8/25/2016,treatment,1,9/5/2016
C,73789572,Fcymosa,8/25/2016,treatment,0,
C,73789572,Fcymosa,8/25/2016,treatment,1,9/1/2016
C,73789572,Fcymosa,8/25/2016,treatment,1,9/1/2016
C,73789572,physalis,8/25/2016,control,0,
C,73789572,physalis,8/25/2016,scatcontrol,1,9/5/2016
C,73789572,physalis,8/25/2016,scattreatment,1,9/12/2016
C,73789572,physalis,8/25/2016,scattreatment,1,12-Sep
C,73789572,physalis,8/25/2016,treatment,1,9/8/2016
C,73789572,physalis,8/25/2016,treatment,0,
C,73789572,sjam,8/25/2016,control,1,9/6/2016
C,73789573,sjam,8/26/2016,control,0,
C,73789572,sjam,8/25/2016,treatment,0,
